user_id,registered_dttm,male_flag,moscow_flag,age,first_name,last_name,middle_name
86321,2023-05-30 03:15:26,1,0,30,Ilya,Volkov,89853583401
45165,2023-05-30 03:30:09,1,0,26,Andrey,Pavlov,89852038085
73252,2023-05-30 04:58:02,1,1,31,Ilya,Golubev,89855768354
29305,2023-05-30 09:26:57,1,0,31,Ilya,Kiselev,89854050963
77968,2023-05-30 10:02:29,1,0,27,Alexey,Kudryavtsev,89855509428
43529,2023-05-30 13:33:59,0,1,29,Maria,Kiselev,89851858735
87977,2023-05-30 17:47:43,0,0,18,Anna,Vinogradov,89855756084
10910,2023-05-30 17:59:52,1,0,28,Alexander,Borisov,89853394642
50848,2023-05-30 18:25:48,1,1,34,Alexey,Fedorov,89853066074
42447,2023-05-30 23:10:53,1,0,30,Sergey,Ilyin,89858485223
40669,2023-05-31 02:34:00,1,0,36,Dmitry,Baranov,89852855480
40567,2023-05-31 11:35:51,1,0,29,Alexey,Borisov,89851912879
35891,2023-05-31 12:51:04,0,0,29,Anna,Grigoryev,89856228034
57398,2023-05-31 15:02:13,1,1,32,Alexander,Vinogradov,89858265074
90049,2023-05-31 15:11:00,1,0,36,Sergey,Pavlov,89850359775
15906,2023-05-31 23:45:38,0,0,28,Elena,Gusev,89852162254
42241,2023-06-01 12:00:49,0,0,39,Natalia,Solovyov,89855644421
54001,2023-06-01 13:13:49,1,0,19,Andrey,Kozlov,89854360280
40484,2023-06-01 13:35:50,1,0,26,Artem,Kuznetsov,89854441211
82824,2023-06-01 13:51:55,1,0,21,Ilya,Tarasov,89854564677
85653,2023-06-01 14:50:51,1,1,31,Ilya,Gusev,89859329626
61861,2023-06-01 16:20:35,1,1,29,Andrey,Sergeev,89856784467
98932,2023-06-01 19:08:22,0,0,42,Svetlana,Tarasov,89853114506
65308,2023-06-01 21:14:22,1,0,43,Alexander,Petrov,89852254088
81599,2023-06-02 01:02:05,0,0,44,Olga,Gusev,89853350744
74070,2023-06-02 01:46:32,0,0,34,Elena,Kuznetsov,89854914727
28008,2023-06-02 03:36:35,0,0,28,Olga,Tarasov,89853989737
8135,2023-06-02 09:44:09,1,0,34,Ilya,Belyaev,89855950671
47427,2023-06-02 12:04:35,0,1,28,Natalia,Sokolov,89858180777
90381,2023-06-02 15:26:36,0,0,28,Yulia,Kulakov,89851416246
68395,2023-06-02 16:56:19,0,0,31,Anna,Novikov,89853951089
58194,2023-06-02 18:51:58,1,0,30,Maxim,Novikov,89851583094
45831,2023-06-02 19:49:30,1,0,27,Artem,Tarasov,89855491145
38963,2023-06-02 22:03:23,1,1,30,Dmitry,Smirnov,89851347303
32225,2023-06-02 22:51:40,0,1,34,Maria,Vinogradov,89859146441
70622,2023-06-02 23:41:31,0,0,32,Tatiana,Kozlov,89856565891
94074,2023-06-03 01:04:49,0,0,29,Maria,Solovyov,89857112433
25568,2023-06-03 02:38:00,1,0,27,Alexander,Mikhailov,89857129954
12529,2023-06-03 03:11:05,0,1,35,Svetlana,Bogdanov,89859136150
11996,2023-06-03 08:22:27,1,0,29,Mikhail,Titov,89854570809
35569,2023-06-03 13:02:06,0,0,30,Anna,Novikov,89852106912
91260,2023-06-03 13:15:47,0,0,27,Natalia,Vasilyev,89858077320
68886,2023-06-03 13:17:06,1,1,21,Dmitry,Andreev,89855939057
67754,2023-06-03 13:42:03,0,0,29,Anna,Popov,89856466485
67661,2023-06-03 15:41:23,1,1,36,Dmitry,Sorokin,89855112514
90965,2023-06-03 15:55:40,1,0,24,Alexander,Mikhailov,89852645433
17844,2023-06-03 18:50:49,1,0,28,Andrey,Ponomarev,89850923151
20045,2023-06-04 02:44:29,1,1,26,Alexey,Vorobyov,89858579644
52703,2023-06-04 03:35:17,1,0,41,Sergey,Andreev,89850494652
95231,2023-06-04 03:58:36,1,0,28,Andrey,Ivanov,89856573847
38895,2023-06-04 08:34:35,1,1,31,Ilya,Tarasov,89858177309
84003,2023-06-04 09:35:05,1,1,32,Alexey,Popov,89855404234
56569,2023-06-04 12:21:04,0,0,24,Anna,Sokolov,89857697394
51437,2023-06-04 13:32:09,0,0,35,Ekaterina,Tarasov,89851299970
2373,2023-06-04 15:49:41,1,0,25,Maxim,Morozov,89857453422
97515,2023-06-04 19:15:04,0,1,23,Anna,Vasilyev,89858590947
38542,2023-06-04 20:39:16,1,0,29,Ilya,Kovalev,89855378826
11812,2023-06-04 21:15:30,1,0,31,Maxim,Lebedev,89854268260
44843,2023-06-05 01:53:05,0,1,31,Natalia,Zakharchenko,89857594109
75061,2023-06-05 02:40:27,1,1,26,Alexander,Vorobyov,89858710442
77116,2023-06-05 08:39:14,0,0,30,Svetlana,Kiselev,89852296748
91405,2023-06-05 10:05:40,1,0,28,Maxim,Volkov,89855141589
48420,2023-06-05 10:27:12,0,0,31,Svetlana,Baranov,89858750024
42971,2023-06-05 12:44:31,0,0,42,Elena,Smirnov,89855969057
81672,2023-06-05 13:02:06,0,0,25,Olga,Vasilyev,89854931494
48399,2023-06-05 15:18:54,0,1,37,Irina,Ivanov,89857669705
17257,2023-06-05 15:19:44,1,0,23,Alexey,Andreev,89852872510
96586,2023-06-05 15:49:47,1,1,26,Kirill,Andreev,89859178173
55198,2023-06-05 15:54:30,1,1,33,Alexander,Mikhailov,89851288826
62560,2023-06-05 16:52:31,1,1,34,Andrey,Volkov,89854132880
59993,2023-06-05 17:06:51,1,0,33,Alexey,Ivanov,89856275417
14869,2023-06-05 18:57:03,1,0,37,Maxim,Bogdanov,89852207945
36685,2023-06-05 22:35:30,1,0,27,Andrey,Popov,89859039966
26109,2023-06-06 00:30:49,0,0,31,Natalia,Vorobyov,89852995412
60921,2023-06-06 01:34:32,1,0,31,Dmitry,Belov,89850171599
16418,2023-06-06 02:19:48,0,0,31,Yulia,Novikov,89857015934
67777,2023-06-06 08:42:06,0,1,18,Natalia,Ilyin,89852123968
89345,2023-06-06 11:45:32,1,1,23,Alexey,Kuznetsov,89850540522
60166,2023-06-06 13:39:03,0,1,23,Anna,Andreev,89851920371
30932,2023-06-06 17:47:37,1,1,28,Kirill,Ponomarev,89853636739
15275,2023-06-06 18:13:19,1,0,38,Artem,Gusev,89855730940
17068,2023-06-06 18:27:39,0,0,23,Yulia,Morozov,89854750054
29831,2023-06-06 20:04:46,1,1,24,Sergey,Baranov,89855676191
3973,2023-06-07 13:58:05,1,0,37,Alexander,Mikhailov,89851207883
3815,2023-06-07 14:09:18,1,0,18,Andrey,Gusev,89850701337
56616,2023-06-07 16:15:15,1,0,27,Alexey,Smirnov,89852830611
15963,2023-06-07 17:34:53,1,0,33,Maxim,Sorokin,89854044871
